#{"t_start": 1672838831.0494676, "env_id": null}
r,l,t
1624.0,590,16361.04612
2212.0,650,16363.518706
2503.0,704,16364.3399
2161.0,655,16366.145329
1591.0,637,16368.046779
1444.0,549,16370.408338
2433.0,679,16370.931462
1488.0,557,16376.523787
1853.0,572,16377.216951
2125.0,682,16643.066739
2502.0,668,16650.302453
2858.0,2833,16656.161859
2612.0,2991,16659.574667
1468.0,551,16921.030051
1771.0,576,16924.771937
3791.0,2937,16927.096488
1932.0,583,16927.27153
1726.0,571,16931.014416
1887.0,604,16933.804078
2102.0,620,16933.81408
3011.0,786,16939.522125
1462.0,544,16939.760181
1895.0,604,16940.398333
2868.0,3021,17201.030898
1934.0,613,17206.168161
2833.0,802,17209.86704
1463.0,510,17215.283505
2217.0,2744,17488.13504
2705.0,3062,17491.482834
2281.0,2740,17495.422339
2607.0,733,17496.083495
2645.0,695,17498.965179
2310.0,685,17502.829093
2734.0,2839,17765.400593
2740.0,741,17766.632885
2141.0,641,17769.56658
1720.0,585,17775.861591
2183.0,621,17782.602187
2283.0,2742,17785.561889
2296.0,674,18049.896795
1354.0,512,18051.171097
2226.0,2737,18054.986001
1378.0,547,18056.983474
2433.0,745,18057.973708
1979.0,2894,18058.017719
1458.0,557,18063.965128
1851.0,679,18064.336215
2018.0,606,18064.519259
1895.0,550,18329.656822
1609.0,532,18329.845866
1875.0,620,18331.048152
1425.0,543,18335.554219
1610.0,539,18335.68525
2507.0,664,18338.188843
1360.0,542,18341.656665
2809.0,851,18344.770402
2202.0,722,18346.000694
1442.0,583,18347.973161
1719.0,612,18611.006627
1953.0,619,18612.497979
1727.0,620,18619.143554
2957.0,853,18628.485294
2184.0,5135,18630.278719
1805.0,595,18894.676956
1551.0,2295,18895.762213
1736.0,578,18896.102293
2291.0,2739,18896.990505
1864.0,674,18901.898666
2271.0,624,18902.526815
2515.0,723,18903.903142
1489.0,561,18907.836073
1451.0,572,18908.58425
2459.0,699,18911.467933
1394.0,531,18913.592438
1459.0,530,18914.278599
1617.0,544,19178.616225
1385.0,530,19179.154353
1714.0,603,19185.108763
3267.0,2911,19187.401307
3268.0,793,19187.602354
1452.0,509,19190.58006
1935.0,598,19193.826829
3092.0,790,19457.401274
2214.0,2743,19458.351499
1339.0,576,19463.656755
2303.0,624,19465.084095
1458.0,575,19469.718191
1475.0,513,19470.583396
1530.0,558,19475.625591
1368.0,530,19734.694969
2860.0,3054,19737.249574
2159.0,2746,19740.09925
1954.0,614,19740.724397
2626.0,695,19742.197747
1429.0,518,19742.871906
1668.0,551,19746.633798
1747.0,559,19752.667227
1372.0,553,20017.232907
1386.0,530,20022.981269
1735.0,573,20028.999694
2445.0,2767,20030.504051
4096.0,3034,20031.390261
2529.0,2911,20032.65256
2314.0,654,20035.956342
1373.0,530,20036.03036
1362.0,531,20296.576088
1711.0,556,20300.284966
1953.0,582,20300.501018
1374.0,549,20302.515495
1732.0,541,20306.256384
2694.0,744,20308.200842
1958.0,552,20308.27986
2470.0,689,20313.614124
1467.0,553,20314.114242
1887.0,584,20314.532341
2408.0,636,20578.809002
1742.0,624,20579.231103
2769.0,2985,20579.884257
1601.0,562,20585.364555
2776.0,831,20587.87515
2503.0,659,20592.47424
1965.0,567,20857.046888
2138.0,2734,20861.012824
1882.0,582,20863.437398
